,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0.055555556,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0,0
J,0.074074074,0.260869565,0,0,0,0,0.444444444,0.217391304,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0
L,0.037037037,0.037037037,0.035714286,0.035714286,0.318181818,0.8,0,0,0,0,0,0,0,0,0,0
M,0.064516129,0.178571429,0,0,0,0,0.304347826,0.454545455,0,0,0,0,0,0,0,0
N,0,0.238095238,0,0,0,0,0.642857143,0.041666667,0,0,0,0,0,0,0,0
O,0,0,0,0,0.260869565,0.8,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0.166666667,0.277777778,0,0,0,0,0,0,0,0
