,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0.47826087,0.391304348,0.071428571,0.115384615,0.166666667,0.185185185,0,0,0,0,0,0,0,0
J,0,0,0.318181818,0.5,0,0,0.045454545,0.173913043,0,0,0,0,0,0,0,0
K,0,0,0,0,0.035714286,0,0,0.409090909,0,0,0,0,0,0,0,0
L,0,0,0,0,0.034482759,0,0,0.391304348,0,0,0,0,0,0,0,0
M,0.103448276,0.107142857,0,0.068965517,0,0,0,0.192307692,0,0,0,0,0,0,0,0
N,0,0,0.285714286,0.315789474,0,0,0,0.086956522,0,0,0,0,0,0,0,0
O,0.136363636,0.142857143,0.130434783,0.090909091,0.466666667,0.4,0.428571429,0,0,0,0,0,0,0,0,0
P,0.115384615,0.12,0.304347826,0.473684211,0,0.041666667,0,0.076923077,0,0,0,0,0,0,0,0
