,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0.705882353,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0.823529412,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0.304347826,0.25,0.304347826,0.304347826,0,0.411764706,0,0,0,0,0,0,0,0,0
L,0.074074074,0.5,0.111111111,0.5,0.5,0,0.2,0,0,0,0,0,0,0,0,0
M,0.555555556,0,0,0,0,0.043478261,0,0.052631579,0,0,0,0,0,0,0,0
N,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0.192307692,0.142857143,0.142857143,0.142857143,0.142857143,0.038461538,0.181818182,0.045454545,0,0,0,0,0,0,0,0
P,0.038461538,0,0.647058824,0,0,0.210526316,0,0,0,0,0,0,0,0,0,0
