,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0.5625,0.166666667,0.148148148,0,0,0,0.103448276,0,0,0,0,0,0,0,0
J,0.173913043,0,0,0,0,0.642857143,0,0.153846154,0,0,0,0,0,0,0,0
K,0.4,0.090909091,0.5,0.428571429,0,0,0,0.631578947,0,0,0,0,0,0,0,0
L,0,0.045454545,0,0.074074074,0.4,0.095238095,0.45,0,0,0,0,0,0,0,0,0
M,0.052631579,0.230769231,0.117647059,0.1,0,0,0,0.095238095,0,0,0,0,0,0,0,0
N,0.8,0,0.368421053,0.318181818,0,0.095238095,0,0.666666667,0,0,0,0,0,0,0,0
O,0.533333333,0,0.294117647,0.25,0,0.117647059,0,0.444444444,0,0,0,0,0,0,0,0
P,0.285714286,0.210526316,0.529411765,0.45,0,0,0,0.428571429,0,0,0,0,0,0,0,0
