,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,patch_partner,treatment
33,1,2:21:15 PM,2:22:33 PM,",0","4,",n,n,n,insemination,,A,N,isolated
3,1,8:04:47 AM,8:06:26 AM,",9","4,",y,n,n,insemination,,H,N,isolated
16,1,8:32:42 AM,8:34:33 AM,",6","5,",y,n,n,insemination,,C,P,isolated
18,1,8:42:21 AM,8:43:43 AM,",9","2,",y,n,n,insemination,,H,O,isolated
31,1,1:40:26 PM,1:41:00 PM,",3","0,",y,n,n,insemination,,G,I,social
38,1,2:56:20 PM,2:56:52 PM,",3","9,",y,n,n,insemination,,G,J,social
43,1,3:27:32 PM,3:28:48 PM,",3","3,",y,n,n,insemination,,G,L,social
4,1,8:07:06 AM,8:08:34 AM,",6","3,",n,NA,n,insemination,,C,L,social
11,1,8:22:14 AM,,",0","4,",n,NA,y,mount,,A,N,isolated
14,1,8:30:43 AM,8:31:45 AM,",3","9,",n,NA,n,insemination,,G,J,social
17,1,8:35:05 AM,8:35:51 AM,",1","9,",n,NA,n,insemination,,B,J,social
19,1,8:44:07 AM,,",2","9,",n,NA,y,mount,,F,J,social
20,1,8:46:17 AM,,",9","0,",n,NA,y,mount,,H,I,social
21,1,8:47:45 AM,8:48:37 AM,",2","9,",n,NA,n,insemination,repositioned into mating position,F,J,social
22,1,8:49:07 AM,,",6","1,",n,NA,y,mount,,C,K,social
23,1,8:50:29 AM,,",9","0,",n,NA,y,mount,,H,I,social
24,1,8:52:13 AM,,",3","0,",n,NA,y,mount,,G,I,social
25,1,8:54:58 AM,,",3","0,",n,NA,y,mount,,G,I,social
26,1,9:14:35 AM,,",6","1,",n,NA,y,mount,,C,K,social
28,1,11:04:17 AM,,",6","1,",n,NA,n,insemination,,C,K,social
35,1,2:29:12 PM,,",3","1,",n,NA,y,mount,,G,K,social
36,1,2:29:18 PM,2:29:45 PM,",3","5,",n,NA,n,insemination,,G,P,isolated
45,1,3:36:14 PM,3:36:48 PM,",6","3,",n,NA,n,insemination,,C,L,social
1,1,8:04:17 AM,,",9","4,",y,y,NA,mount,,H,N,isolated
2,1,8:04:31 AM,,",0","8,",y,y,NA,mount,,A,M,isolated
5,1,8:08:39 AM,,",5","2,",y,y,NA,mount,,E,O,isolated
6,1,8:13:52 AM,,",0","5,",y,y,NA,mount,,A,P,isolated
7,1,8:14:59 AM,,",0","0,",y,y,NA,mount,,A,I,social
8,1,8:16:30 AM,,",0","0,",y,y,NA,mount,,A,I,social
10,1,8:20:06 AM,,",0","2,",y,y,NA,mount,,A,O,isolated
12,1,8:27:52 AM,,",6","8,",y,y,NA,mount,,C,M,isolated
13,1,8:29:12 AM,,",0","2,",y,y,NA,mount,,NA,O,isolated
15,1,8:31:17 AM,,",6","0,",y,y,NA,mount,,C,I,social
27,1,9:37:51 AM,,",6","1,",y,y,NA,mount,,C,K,social
29,1,1:00:57 PM,,",3","9,",y,y,NA,mount,,G,J,social
30,1,1:29:59 PM,,",4","3,",y,y,NA,mount,,D,L,social
34,1,2:27:58 PM,,",3","1,",y,y,NA,mount,,G,K,social
37,1,2:35:59 PM,,",3","5,",y,y,NA,mount,,G,P,isolated
39,1,3:10:26 PM,,",4","3,",y,y,NA,mount,,D,L,social
40,1,3:24:01 PM,,",4","3,",y,y,NA,mount,,D,L,social
41,1,3:24:56 PM,,",4","3,",y,y,NA,mount,,D,L,social
42,1,3:25:06 PM,,",4","3,",y,y,NA,mount,,D,L,social
44,1,3:32:11 PM,,",4","1,",y,y,NA,mount,,D,K,social
9,1,8:17:57 AM,8:18:45 AM,",0","0,",n,NA,n,insemination,checked,A,I,social
49,2,10:32:27 AM,10:32:55 AM,",0","9,",n,NA,y,mount,,A,J,social
48,2,9:24:30 AM,,",4","1,",y,n,y,mount,,D,K,social
58,2,10:57:08 AM,10:57:14 AM,",3","3,",y,n,y,mount,,G,L,social
59,2,10:56:31 AM,,",4","1,",y,n,y,mount,,D,K,social
75,2,1:17:58 PM,1:21:20 PM,",1","1,",y,n,n,insemination,,B,K,social
